epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6241.96,0.68274,0.47038,0.96074,0.94464,0.6272,0.62736,0.51519,0.7316,0.50075,0.94933,0.000144161,0.000144161,0.000144161
78,6320.8,0.73408,0.56513,0.98635,0.94464,0.6272,0.62736,0.51519,0.7316,0.50075,0.94933,0.000133695,0.000133695,0.000133695
79,6403.88,0.72847,0.54972,1.00576,0.93656,0.62885,0.62674,0.51915,0.70879,0.49241,0.94114,0.000123596,0.000123596,0.000123596
80,6483.63,0.75534,0.5769,1.02543,0.93656,0.62885,0.62674,0.51915,0.70879,0.49241,0.94114,0.000113873,0.000113873,0.000113873
81,6556.76,0.76899,0.5067,1.02253,0.93563,0.62912,0.62767,0.52328,0.68692,0.48685,0.93502,0.000104537,0.000104537,0.000104537
82,6642.93,0.74518,0.58516,1.01637,0.93563,0.62912,0.62767,0.52328,0.68692,0.48685,0.93502,9.55951e-05,9.55951e-05,9.55951e-05
83,6734.02,0.70445,0.53195,0.99001,0.93563,0.62912,0.62767,0.52328,0.68692,0.48685,0.93502,8.70577e-05,8.70577e-05,8.70577e-05
84,6808.16,0.67437,0.51415,0.95972,0.93513,0.62604,0.62887,0.52782,0.67819,0.48156,0.9329,7.89327e-05,7.89327e-05,7.89327e-05
85,6880.95,0.7284,0.54184,0.9758,0.93513,0.62604,0.62887,0.52782,0.67819,0.48156,0.9329,7.12282e-05,7.12282e-05,7.12282e-05
86,6957.34,0.62655,0.57649,0.96264,0.93513,0.62604,0.62887,0.52782,0.67819,0.48156,0.9329,6.39518e-05,6.39518e-05,6.39518e-05
87,7032.06,0.60281,0.50981,0.93893,0.93556,0.62355,0.62943,0.52919,0.66814,0.49421,0.93309,5.71106e-05,5.71106e-05,5.71106e-05
88,7103.25,0.69701,0.82924,1.04074,0.93556,0.62355,0.62943,0.52919,0.66814,0.49421,0.93309,5.07115e-05,5.07115e-05,5.07115e-05
89,7176.53,0.66375,0.55763,0.9861,0.93858,0.62165,0.62524,0.52833,0.66395,0.52032,0.93804,4.47606e-05,4.47606e-05,4.47606e-05
90,7246.55,0.5762,0.48676,0.90988,0.93858,0.62165,0.62524,0.52833,0.66395,0.52032,0.93804,3.9264e-05,3.9264e-05,3.9264e-05
91,7322.77,0.60044,0.53528,0.89723,0.93858,0.62165,0.62524,0.52833,0.66395,0.52032,0.93804,3.4227e-05,3.4227e-05,3.4227e-05
92,7396.57,0.56976,0.50819,0.91249,0.93246,0.62209,0.62565,0.53001,0.65633,0.5389,0.937,2.96546e-05,2.96546e-05,2.96546e-05
93,7474.09,0.80988,0.619,1.04549,0.93246,0.62209,0.62565,0.53001,0.65633,0.5389,0.937,2.55513e-05,2.55513e-05,2.55513e-05
94,7541.53,0.61319,0.4771,0.95094,0.93246,0.62209,0.62565,0.53001,0.65633,0.5389,0.937,2.19212e-05,2.19212e-05,2.19212e-05
95,7615.32,0.63335,0.48023,0.94895,0.92841,0.62167,0.62517,0.5267,0.65553,0.54888,0.93696,1.87678e-05,1.87678e-05,1.87678e-05
96,7682.32,0.73959,0.82965,1.11209,0.92841,0.62167,0.62517,0.5267,0.65553,0.54888,0.93696,1.60943e-05,1.60943e-05,1.60943e-05
97,7753.09,0.72021,0.57508,0.9853,0.90612,0.64929,0.62436,0.52712,0.66046,0.55099,0.94042,1.39032e-05,1.39032e-05,1.39032e-05
98,7822.2,0.74884,0.5085,1.06947,0.90612,0.64929,0.62436,0.52712,0.66046,0.55099,0.94042,1.21968e-05,1.21968e-05,1.21968e-05
99,7900.41,0.56671,0.45681,0.90855,0.90612,0.64929,0.62436,0.52712,0.66046,0.55099,0.94042,1.09768e-05,1.09768e-05,1.09768e-05
100,7966.23,0.56594,0.50563,0.88481,0.90908,0.64772,0.62677,0.52743,0.65984,0.5518,0.93755,1.02443e-05,1.02443e-05,1.02443e-05
